ID,Condition,Trial ,justice,age,participantgender,gender,race,year
20,4,7,10,34,1,1,5,4
20,4,8,10,34,1,1,5,4
20,4,9,10,34,1,1,5,4
20,4,10,10,34,1,1,5,4
20,4,11,10,34,1,1,5,4
20,4,12,10,34,1,1,5,4
20,4,13,1,34,1,1,5,4
20,4,14,10,34,1,1,5,4
20,4,15,10,34,1,1,5,4
20,4,16,10,34,1,1,5,4
20,4,17,1,34,1,1,5,4
20,4,18,10,34,1,1,5,4
20,4,19,10,34,1,1,5,4
21,1,1,4,19,1,1,1,2
21,1,2,2,19,1,1,1,2
21,1,3,4,19,1,1,1,2
21,1,4,3,19,1,1,1,2
21,1,5,2,19,1,1,1,2
21,1,6,4,19,1,1,1,2
21,1,7,10,19,1,1,1,2
21,1,8,10,19,1,1,1,2
21,1,9,10,19,1,1,1,2
21,1,10,10,19,1,1,1,2
21,1,11,10,19,1,1,1,2
21,1,12,9,19,1,1,1,2
21,1,13,5,19,1,1,1,2
21,1,14,4,19,1,1,1,2
21,1,15,5,19,1,1,1,2
21,1,16,5,19,1,1,1,2
21,1,17,6,19,1,1,1,2
21,1,18,6,19,1,1,1,2
21,1,19,6,19,1,1,1,2
22,3,1,10,26,1,1,5,4
22,3,2,10,26,1,1,5,4
22,3,3,10,26,1,1,5,4
22,3,4,10,26,1,1,5,4
22,3,5,10,26,1,1,5,4
22,3,6,10,26,1,1,5,4
22,3,7,3,26,1,1,5,4
22,3,8,1,26,1,1,5,4
22,3,9,10,26,1,1,5,4
22,3,10,10,26,1,1,5,4
22,3,11,10,26,1,1,5,4
22,3,12,10,26,1,1,5,4
22,3,13,10,26,1,1,5,4
22,3,14,10,26,1,1,5,4
22,3,15,10,26,1,1,5,4
22,3,16,10,26,1,1,5,4
22,3,17,10,26,1,1,5,4
22,3,18,10,26,1,1,5,4
22,3,19,5,26,1,1,5,4
23,5,1,7,22,1,1,1,4
23,5,2,7,22,1,1,1,4
23,5,3,6,22,1,1,1,4
23,5,4,10,22,1,1,1,4
23,5,5,5,22,1,1,1,4
23,5,6,6,22,1,1,1,4
23,5,7,6,22,1,1,1,4
23,5,8,6,22,1,1,1,4
23,5,9,8,22,1,1,1,4
23,5,10,8,22,1,1,1,4
23,5,11,8,22,1,1,1,4
23,5,12,9,22,1,1,1,4
23,5,13,10,22,1,1,1,4
23,5,14,10,22,1,1,1,4
23,5,15,10,22,1,1,1,4
23,5,16,10,22,1,1,1,4
23,5,17,9,22,1,1,1,4
23,5,18,10,22,1,1,1,4
23,5,19,10,22,1,1,1,4
24,4,1,10,19,1,1,4,2
24,4,2,10,19,1,1,4,2
24,4,3,10,19,1,1,4,2
24,4,4,10,19,1,1,4,2
24,4,5,10,19,1,1,4,2
24,4,6,10,19,1,1,4,2
24,4,7,10,19,1,1,4,2
24,4,8,10,19,1,1,4,2
